no,page,supplier_agent,supplier_valid_until,product_materials,product_type,classification,brand,attachment_urls,source_url
153,5,"POLYWARE SDN BHD 7, Jalan Zarib 1, Zarib Industrial Park 31500 Ipoh, Perak, Malaysia",20-02-2027,FITTINGS,A [Conveyance of Water],FITTINGS,POLYFUSE,https://water.sabah.gov.my/sites/default/files/uploads/products/22881/jans202523abc-polyware-sdn-bhd-ajenama-polyfuse.pdf,https://water.sabah.gov.my/products?page=5
154,5,"LIPP ENGINEERING SDN BHD 7 Jalan Astaka U8/88A, Seksyen U8, Taman Perindustrian Bukit Jelutong 40150 Shah Alam, Selangor",20-02-2027,Cylindrical Steel Tank,B [Storage of Water],TANK,LIPP TANKS,https://water.sabah.gov.my/sites/default/files/uploads/products/22880/jans202522-lipp-engineering-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
155,5,"AEG SDN BHD No 7 Jalan Pemberita U1/49, Temasya Indutrial Park, 40150 Glenmarie, Shah Alam, Selangor",20-02-0007,Sunten Dry Cast Transformer,B [Water Quality Equipment],transformer,SUNTEN,https://water.sabah.gov.my/sites/default/files/uploads/products/22879/jans202521-aeg-sdb-bhd-sunten-dry-cast-transformer.pdf,https://water.sabah.gov.my/products?page=5
156,5,"AEG SDN BHD No 7 Jalan Pemberita U1/49, Temasya Indutrial Park, 40150 Glenmarie, Shah Alam, Selangor",20-02-2027,HWX SE Switchgear,B [Water Quality Equipment],switchgear,SXHNEIDER ELECTRIC,https://water.sabah.gov.my/sites/default/files/uploads/products/22878/jans202520-aeg-sdb-bhd-schneider-electric-b.pdf,https://water.sabah.gov.my/products?page=5
157,5,"AEG SDN BHD No 7 Jalan Pemberita U1/49, Temasya Indutrial Park, 40150 Glenmarie, Shah Alam, Selangor",20-02-2027,Switchgear,B [Water Quality Equipment],switchgear,AEG SWITCHGEAR,https://water.sabah.gov.my/sites/default/files/uploads/products/22877/jans202519-aeg-sdb-bhd-aeg-switchgear-mfg-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
158,5,"SHING  LAM HUAT SDN BHD Lot 60359, Jalan Kpb 2, Bukit Belimbing, Balakong, 43300 Seri Kembangan, Selangor Malaysia",20-02-2027,AIR VALVE,A [Flow Control],VALVE,TVT,https://water.sabah.gov.my/sites/default/files/uploads/products/22876/jans202518-shing-lam-huat-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
159,5,"TENALOT SDN BHD 100-1-003, Block J, The School @ Jaya One, 72a Jln Universiti, 46200 Petaling Jaya, Selangor, Malaysia",20-02-2027,PANAMETRICS,B [Measuring Device],panametric,BAKER HUGHES [BH] PANAMETRICS,https://water.sabah.gov.my/sites/default/files/uploads/products/22875/jans202517-tenalot-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
160,5,"CEMERLANG PADAS SDN BHD Lot 32, 2nd Floor, Block F, KK Times Square, Off Coastal Road, 88100 Kota Kinabalu, Sabah",20-02-2027,METER,A [Measuring Device],METER,GKM,https://water.sabah.gov.my/sites/default/files/uploads/products/22874/jans202516g-cermelang-padas-sdn-bhd-g.pdf,https://water.sabah.gov.my/products?page=5
161,5,"CEMERLANG PADAS SDN BHD Lot 32, 2nd Floor, Block F, KK Times Square, Off Coastal Road, 88100 Kota Kinabalu, Sabah",20-02-2027,METER,A [Measuring Device],METER,GKM,https://water.sabah.gov.my/sites/default/files/uploads/products/22873/jans202516f-cermelang-padas-sdn-bhd-f.pdf,https://water.sabah.gov.my/products?page=5
162,5,"CEMERLANG PADAS SDN BHD Lot 32, 2nd Floor, Block F, KK Times Square, Off Coastal Road, 88100 Kota Kinabalu, Sabah",20-02-2027,METER,A [Measuring Device],METER,GKM,https://water.sabah.gov.my/sites/default/files/uploads/products/22872/jans202516e-cermelang-padas-sdn-bhd-e.pdf,https://water.sabah.gov.my/products?page=5
163,5,"CEMERLANG PADAS SDN BHD Lot 32, 2nd Floor, Block F, KK Times Square, Off Coastal Road, 88100 Kota Kinabalu, Sabah",20-02-2027,METER,A [Measuring Device],METER,GKM,https://water.sabah.gov.my/sites/default/files/uploads/products/22871/jans202516d-cermelang-padas-sdn-bhd-d.pdf,https://water.sabah.gov.my/products?page=5
164,5,"CEMERLANG PADAS SDN BHD Lot 32, 2nd Floor, Block F, KK Times Square, Off Coastal Road, 88100 Kota Kinabalu, Sabah",20-02-2027,METER,A [Measuring Device],METER,GKM,https://water.sabah.gov.my/sites/default/files/uploads/products/22870/jans202516c-cermelang-padas-sdn-bhd-c.pdf,https://water.sabah.gov.my/products?page=5
165,5,"CEMERLANG PADAS SDN BHD Lot 32, 2nd Floor, Block F, KK Times Square, Off Coastal Road, 88100 Kota Kinabalu, Sabah",20-02-2027,METER,A [Measuring Device],METER,GKM,https://water.sabah.gov.my/sites/default/files/uploads/products/22869/jans202516b-cermelang-padas-sdn-bhd-b.pdf,https://water.sabah.gov.my/products?page=5
166,5,"GREENSON TECHNOLOGY SDN BHD 26-05, Stellar Suites, Jalan Puteri  4/7, Bandar Puteri, 47100 Puchong, Selangor Darul Ehsan",20-02-2027,METER,B [Instrument And Control],METER,RIVENTA,https://water.sabah.gov.my/sites/default/files/uploads/products/22867/jans202515-greenson-technology-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
167,5,"HYDROAXYS SDN BHD D2-11-G & D211-1, Jalan Dutamas 2, Taman Dutamas, 43200 Balakong, Selangor, Malaysia",20-02-2027,Aquatroll Multiparameter,B [Water Quality Monitoring Equipment],MULTIPARAMETER,IN-SITU,https://water.sabah.gov.my/sites/default/files/uploads/products/22866/jans202514-hydroaxys-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
168,5,"ARACHEM (M) SDN BHD 11, Persiaran Industri, Taman Perindustrian Sri Damansara, Bandar Sri Damansara, 52200 Kuala Lumpur",20-02-2027,MIXER,A [Water Treatment Equipment],Mixer,STATIFLO,https://water.sabah.gov.my/sites/default/files/uploads/products/22865/jans202513-arachem-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
169,5,"PIPEWAY INDUSTRY SDN BHD AL-73, Kampung Baru Sungai Buloh, 47000 Selangor Darul Ehsan",19-12-2026,STEEL PIPE (ERW) (SAW) - PIPE & SPECIALS,A [Conveyance of Water],PIPE & SPECIALS,"PIPELINE, PWI",https://water.sabah.gov.my/sites/default/files/uploads/products/22853/jans2024113-pipeway-industry-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
170,5,"MALSTORE SDN BHD No. 3D, Jalan PJS 1/48, Taman Petaling Utama, 46150 Petaling Jaya, Selangor",19-12-2026,TANK,A [Storage of Water],TANK,MALSTORE,https://water.sabah.gov.my/sites/default/files/uploads/products/22852/jans2024112-malstore-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
171,5,"BEYOND ATRIA SDN BHD No. G-47-1, Block G, 1st Floor Pavillion Bundusan, Jalan Bundusan 88300 Penampang, Kota Kinabalu",04-12-2026,POLYPROPYLENE (PP) PIPES & FITTINGS,A [Conveyance of Water],PIPES & FITTINGS,REHAU,https://water.sabah.gov.my/sites/default/files/uploads/products/22851/jans2024111ab-beyond-atria-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
172,5,"CEW SIN PLASTIC PIPE SDN BHD Lot 305010, Jalan Chepor 11/10, Pusat Industri Seramik Fasa 2, Chepor, 31200 Chemor, Perak Darul Ridzuan",04-12-2026,UNPLASTICIZED POLYVINYL CHLORIDE (UPVC) PIPE,A [Conveyance of Water],PIPE,CS,https://water.sabah.gov.my/sites/default/files/uploads/products/22850/jans2024110-cew-sin-plastic-pipe-sdn-bhd-upvc-pipe.pdf,https://water.sabah.gov.my/products?page=5
173,5,"CEW SIN PLASTIC PIPE SDN BHD Lot 305010, Jalan Chepor 11/10, Pusat Industri Seramik Fasa 2, Chepor, 31200 Chemor, Perak Darul Ridzuan",04-12-2026,POLYETHYLENE (PE) PIPES,A [Conveyance of Water],PIPES,CS,https://water.sabah.gov.my/sites/default/files/uploads/products/22849/jans2024109-cew-sin-plastic-pipe-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
174,5,"PROGRESSIVE CONTROL SDN BHD Lot.N6, Cyber Square, 88300, Kota Kinabalu, Sabah, Malaysia",04-12-2026,VALVES,A [Flow Control],VALVES,"Si, SISB",https://water.sabah.gov.my/sites/default/files/uploads/products/22848/jans2024108-progressive-control-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
175,5,"YMC TECHNOLOGIES SDN BHD No. 12 Jalan Astaka U8/83, Seksyen U8, Bukit Jelutong 40150 Shah Alam, Selangor",04-12-2026,VALVES,A [Flow Control],VALVES,AVM,https://water.sabah.gov.my/sites/default/files/uploads/products/22847/jans2024107-ymc-technologies-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
176,5,"AFC VALVES MALAYSIA SDN BHD No.20 Jalan Sg Jeluh 32/189, Bukit Naga Industrial Park, Seksyen 32, 40460 Shah Alam, Selangor D.E",06-09-2026,VALVE,A [Flow Control],VALVE,AFC,https://water.sabah.gov.my/sites/default/files/uploads/products/22846/jans2024106-afc-valves-malaysia-sdn-bhd-afc.pdf,https://water.sabah.gov.my/products?page=5
177,5,"DELTA PERDANA SDN BHD No 24, Jalan Utarid U5/14 Seksyen U5, 40150 Shah Alam, Selangor.",27-08-2026,WATER METER,A [Measuring Device],WATER METER,DP MTR,https://water.sabah.gov.my/sites/default/files/uploads/products/22845/jans2024104a-delta-perdana-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
178,5,"DELTA PERDANA SDN BHD No 24, Jalan Utarid U5/14 Seksyen U5, 40150 Shah Alam, Selangor.",27-08-2026,WATER METER,A [Measuring Device],WATER METER,DELTA MTR,https://water.sabah.gov.my/sites/default/files/uploads/products/22844/jans2024104-delta-perdana-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
179,5,"FUTURE PIPE INDUSTRIES (M) SDN BHD Suite 8-2, Level 8, Wisma Uoa Ii, 21 Jalan Pinang, 50450 Kuala Lumpur, Malaysia",27-08-2026,Fiberstrong / Fiberglass Pipes [GRP],A [Conveyance of Water],FIBERGLASS PIPES,FIBERSTRONG ®,https://water.sabah.gov.my/sites/default/files/uploads/products/22843/jans2024103-future-pipe-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
180,5,"STEELWORKS ENGINEERING SDN BHD Lot 3, Jalan CJ5, Kawasan Perindustrian Cheras Jaya, 43200 Balakong, Selangor",27-08-2026,PRESSED STEEL SECTIONAL WATER TANK,A,WATER TANK,SUNNIK,https://water.sabah.gov.my/sites/default/files/uploads/products/22842/jans2024102-steelworks-engineering-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=5
181,6,"SHING  LAM HUAT SDN BHD Lot 60359, Jalan Kpb 2, Bukit Belimbing, Balakong, 43300 Seri Kembangan, Selangor Malaysia",27-08-2026,Unplasticized Polyvinyl Chloride [PVC-U] Pipes,B [Water Treatment Equipment],PIPES,TVT,https://water.sabah.gov.my/sites/default/files/uploads/products/22841/jans2024101-shing-lam-huat-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
182,6,"CHEMKIMIA SDN BHD No. 19, Jalan Kenanga 6, Seksyen BB 11, Bandar Bukit Beruntung, 48300 Rawang, Selangor",27-08-2026,ALUMINIUM CHLOROHYDRATE,A  [Chemical For Water Treatment],Aluminium Chlorohydrate,CHEMCHLOR,https://water.sabah.gov.my/sites/default/files/uploads/products/22840/jans2024100-chemkimia-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
183,6,"BINA PLASTIC INDUSTRIES SDN BHD Lot 4844, Balakong New Village Industrial Estate, 433000 Seri Kembangan, Selangor.",27-08-2026,Unplasticized Polyvinyl Chloride [PVC-U] Pipes,A,PIPES,BBB,https://water.sabah.gov.my/sites/default/files/uploads/products/22839/jans202499-bina-plastic-industries-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
184,6,"ARACHEM (M) SDN BHD 11, Persiaran Industry, Taman Perindustrian Damansara, Bandar Sri Damansara 52200 Kuala Lumpur",27-08-2026,MIXER,B [Mixing],Mixer,LIGHTNIN,https://water.sabah.gov.my/sites/default/files/uploads/products/22838/jans202498-arachem-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
185,6,"ARACHEM (M) SDN BHD 11, Persiaran Industry, Taman Perindustrian Damansara, Bandar Sri Damansara 52200 Kuala Lumpur",27-08-2026,METERING PUMP,B [Sludge Treatment],Pump,BRAN+LUEBE,https://water.sabah.gov.my/sites/default/files/uploads/products/22837/jans202497-arachem-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
186,6,"ARACHEM (M) SDN BHD 11, Persiaran Industry, Taman Perindustrian Damansara, Bandar Sri Damansara 52200 Kuala Lumpur",27-08-2026,Chemical Dosing Preparation System,B [Water Treatment Equipment],Chemical Dosing Preparation System,POLYMIX,https://water.sabah.gov.my/sites/default/files/uploads/products/22836/jans202496-arachem-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
187,6,"ARACHEM (M) SDN BHD 11, Persiaran Industry, Taman Perindustrian Damansara, Bandar Sri Damansara, 52200 Kuala Lumpur.",27-08-2026,CENTRIFUGAL PUMP,B [Flow Control],Pump,JOHNSON PUMP,https://water.sabah.gov.my/sites/default/files/uploads/products/22835/jans202495-arachem-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
188,6,"NETZSCH (MALAYSIA) SDN BHD No 6,Jalan Astaka U8/88B,Bukit Jelutong , 40150 , Shah Alam,Selangor , Malaysia",27-08-2026,Perilstatic Pump,B [Water Treatment Equipment],Pump,NETZCH,https://water.sabah.gov.my/sites/default/files/uploads/products/22834/jans202494-netzsch-malaysia-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
189,6,"NETZSCH (MALAYSIA) SDN BHD No 6,Jalan Astaka U8/88B,Bukit Jelutong , 40150 , Shah Alam,Selangor , Malaysia",27-08-2026,Progressive Cavity Pump,B [Sludge Treatment],Pump,NETZCH,https://water.sabah.gov.my/sites/default/files/uploads/products/22833/jans202493-netzsch-malaysia-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
190,6,"SIME DARBY ELECTROPACK SDN BHD Lot 7, Ground Floor, Block L, Kk Inanam Taipan Phase 3, Inanam New Township, 88450 Kota Kinabalu, Sabah",27-08-2026,GENERATOR SET,A,GENERATOR SET,PERKINS,https://water.sabah.gov.my/sites/default/files/uploads/products/22832/jans202492-sime-darby-electropack-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
191,6,"SYARIKAT LOGAM UNITRADE SDN BHD No. 2, Jalan Astaka U8/87, Sek U8, Bukit Jelutong, 40150 Shah Alam, Selangor",27-08-2026,Stainless Steel Fittings,A,FITTINGS,ALFRAN,https://water.sabah.gov.my/sites/default/files/uploads/products/22831/jans202491-syarikat-logam-unitrade-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
192,6,"FAST FLOW MALAYSIA SDN BHD No.16, Jln 15/22, Taman Perindustrian Tiong Nam, 40200 Shah Alam, Selangor",27-08-2026,Polyethylene [PE] Fittings,A,FITTINGS,VASEN,https://water.sabah.gov.my/sites/default/files/uploads/products/22830/jans202490-fast-flow-malaysia-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
193,6,"FAST FLOW MALAYSIA SDN BHD No.16, Jln 15/22, Taman Perindustrian Tiong Nam, 40200 Shah Alam, Selangor",27-08-2026,PPR Pipe & PPR Fittings,A,PIPE & FITTINGS,VASEN,https://water.sabah.gov.my/sites/default/files/uploads/products/22829/jans202489a-b-c-fastflow-malaysia-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
194,6,"BREEN INTERNATIONAL SDN BHD No.27, Jalan Industri Pbp 8, Pusat Bandar Puchong, 47100 Puchong, Selangor Darul Ehsan.",27-08-2026,Pilot Operated Control Valve,B [Flow Control],VALVE,EKOVAL,https://water.sabah.gov.my/sites/default/files/uploads/products/22828/jans202488-breen-international-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
195,6,MODERN ERA PLUS SDN BHD Lot 1890-1891 Block 5 Kuala Baram District Senadin 98000 Miri Sarawak.,27-08-2026,Pipe-In Liner,B,Pipe-In Liner,ASOE,https://water.sabah.gov.my/sites/default/files/uploads/products/22827/jans202487-modern-era-plus-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=6
196,6,"PREMIER WATER SERVICES SDN BHD No 14, Jalan Kerawang U8/108, Perindustrian Tekno Jelutong, Seksyen U8 Bukit Jelutong , 40150, Shah Alam, Selangor.",27-08-2026,Diehl Meter Advance Metrology R800 Volumetric Water Meter,A,VOLUMETRIC WATER METER,Diehl Metering,https://water.sabah.gov.my/sites/default/files/uploads/products/22826/jans202486a-b-premier-water-services.pdf,https://water.sabah.gov.my/products?page=6
197,6,"GPA PUMPS (M) SDN BHD No.12, Jalan 6/152, Taman Perindustrian Oug, 58200 Kuala Lumpur, Malaysia",27-08-2026,CENTRIFUGAL PUMP,B [Flow Control],Pump,VARISCO,https://water.sabah.gov.my/sites/default/files/uploads/products/22825/jans202485-gpa-pumps-varisco.pdf,https://water.sabah.gov.my/products?page=6
198,6,"GPA PUMPS (M) SDN BHD No.12, Jalan 6/152, Taman Perindustrian Oug, 58200 Kuala Lumpur, Malaysia",27-08-2026,CENTRIFUGAL PUMP,B [Flow Control],Pump,SAER ELETROPOMPE,https://water.sabah.gov.my/sites/default/files/uploads/products/22824/jans202484-gpa-pumps-saer.pdf,https://water.sabah.gov.my/products?page=6
199,6,"PAU TATT WATER PIPE SDN BHD Lot PT35343, Batu 1½, Jalan Bangi Lama, 43500 Semenyih, Selangor Darul Ehsan",28-05-2026,STEEL PIPE [ERW)] [SAW] - PIPE & SPECIALS,A [Conveyance of Water],PIPES & SPECIALS,PT,https://water.sabah.gov.my/sites/default/files/uploads/products/22814/jans202483-pau-tatt-water-pipe-sdn-bhd-pt.pdf,https://water.sabah.gov.my/products?page=6
200,6,"MRPI PIPES SDN BHD No. 5, Jalan Perusahaan 2, Kawasan Perindustrian Bukit Raja, 41050 Klang, Selangor Darul Ehsan",28-05-2026,HDPE PIPE,A [Conveyance of Water],PIPE,MRPI,https://water.sabah.gov.my/sites/default/files/uploads/products/22813/jans202482-mrpi-pipes-sdn-bhd-mrpi.pdf,https://water.sabah.gov.my/products?page=6
201,6,"YMC TECHNOLOGIES SDN BHD No.12 Jalan Astaka U8/83, Seksyen U8, Bukit Jelutong, 40150 Shah Alam, Selangor Darul Ehsan",28-05-2026,Pressed Steel Sectional Rectangular Tank,A [Storage of Water],TANK,NOVA,https://water.sabah.gov.my/sites/default/files/uploads/products/22812/jans202481-ymc-technologies-sdn-bhd-nova.pdf,https://water.sabah.gov.my/products?page=6
202,6,"HACH MALAYSIA SDN BHD Surian Tower, Unit 23A, 23A Floor, No. 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor.",28-05-2026,WATER QUALITY MONITORING EQUIPMENT,B [Water Quality Monitoring Equipment],WATER QUALITY MONITORING EQUIPMENT,HACH,https://water.sabah.gov.my/sites/default/files/uploads/products/22811/jans202480-hach-malaysia-sdn-bhd-hach.pdf,https://water.sabah.gov.my/products?page=6
203,6,"HACH MALAYSIA SDN BHD Surian Tower, Unit 23A, 23A Floor, No. 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor.",28-05-2026,WATER QUALITY MONITORING EQUIPMENT,B [Water Quality Monitoring Equipment],WATER QUALITY MONITORING EQUIPMENT,IDEXX,https://water.sabah.gov.my/sites/default/files/uploads/products/22810/jans202479-hach-malaysia-sdn-bhd-hach.pdf,https://water.sabah.gov.my/products?page=6
204,6,"HACH MALAYSIA SDN BHD Surian Tower, Unit 23A, 23A Floor, No. 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor.",28-05-2026,WATER QUALITY MONITORING EQUIPMENT,B [Water Quality Monitoring Equipment],WATER QUALITY MONITORING EQUIPMENT,LASER DIAGNOSTIC INSTRUMENT (LDI),https://water.sabah.gov.my/sites/default/files/uploads/products/22809/jans202478-hach-malaysia-sdn-bhd-hach.pdf,https://water.sabah.gov.my/products?page=6
205,6,"AFC VALVES MALAYSIA SDN BHD No.20 Jalan Sg Jeluh 32/189, Bukit Naga Industrial Park, Seksyen 32, 40460 Shah Alam, Selangor D.E",28-05-2026,VALVE,A [Flow Control],VALVE,AFC,https://water.sabah.gov.my/sites/default/files/uploads/products/22808/jans202477-afc-valves-malaysia-sdn-bhd-afc.pdf,https://water.sabah.gov.my/products?page=6
206,6,"PROGRESSIVE CONTROL SDN BHD Lot.N6, Cyber Square, 88300 Kota Kinabalu, Sabah, Malaysia",28-05-2026,ELECTROMAGNETIC FLOWMETER,B [Measuring Device],FLOWMETERS,ISOMAG,https://water.sabah.gov.my/sites/default/files/uploads/products/22807/jans202476-progressive-control-sdn-bhd-isomag.pdf,https://water.sabah.gov.my/products?page=6
207,6,"GLOBAL TANKCOM SDN BHD Suite 2-7-5, No.2,7th Floor, Wisma Manjalara, Jalan 7A/62A, Bandar Manjalara, 52200 Kuala Lumpur",28-05-2026,GLASS FUSED STEEL TANK,A [Storage of Water],TANK,YHR,https://water.sabah.gov.my/sites/default/files/uploads/products/22806/jans202475-global-tankcom-sdn-bhd-yhr.pdf,https://water.sabah.gov.my/products?page=6
208,6,"NORWARDS INDUSTRIES SDN. BHD. Lot 5191, Jalan Balakong, Batu 13, Taman Balakong Jaya 43300 Balakong, Selangor, Malaysia",28-05-2026,FITTINGS,A [Conveyance of Water],FITTINGS,NORWARDS,https://water.sabah.gov.my/sites/default/files/uploads/products/22805/jans202474-norwards-industries-sdn-bhd-norwards.pdf,https://water.sabah.gov.my/products?page=6
209,6,"NORWARDS INDUSTRIES SDN. BHD. Lot 5191, Jalan Balakong, Batu 13, Taman Balakong Jaya 43300 Balakong, Selangor, Malaysia",28-05-2026,DUCTILE IRON FITTINGS,A [Conveyance of Water],FITTINGS,NORWARDS,https://water.sabah.gov.my/sites/default/files/uploads/products/22804/jans202473ab-norwards-industries-sdn-bhd-norwards.pdf,https://water.sabah.gov.my/products?page=6
210,6,"NORWARDS INDUSTRIES SDN. BHD. Lot 5191, Jalan Balakong, Batu 13, Taman Balakong Jaya 43300 Balakong, Selangor, Malaysia",28-05-2026,DUCTILE IRON FITTINGS,A [Conveyance of Water],FITTINGS,NORWARDS,https://water.sabah.gov.my/sites/default/files/uploads/products/22803/jans202472-norwards-industries-sdn-bhd-norwards.pdf,https://water.sabah.gov.my/products?page=6
211,7,"WASCO PIPE SABAH SDN BHD No. 1, Jalan 4, KKIP Timur, Industrial Zone 13 (IZ13), Kota Kinabalu Industrial Park, 88460 Kota Kinabalu, Sabah, Malaysia.",28-05-2026,Spiral Welded / HSAW Pipes,A [Conveyance of Water],PIPES,WPS,https://water.sabah.gov.my/sites/default/files/uploads/products/22802/jans202471-wasco-pipe-sabah-sdn-bhd-wps.pdf,https://water.sabah.gov.my/products?page=7
212,7,"SVM WATER CONTROLS SDN BHD No 2. Jalan TP 5A, Taman Perindustrian UEP, 47600 Subang Jaya, Selangor.",28-05-2026,VALVE,B [Flow Control],VALVE,SINGER,https://water.sabah.gov.my/sites/default/files/uploads/products/22801/jans202470ab-svm-water-controls-sdn-bhd-singer.pdf,https://water.sabah.gov.my/products?page=7
213,7,"AZEETA PIPE SYSTEM SDN BHD No 9, Jalan Anggerik Mokara 3 1/59, Kota Kemuning, 40460 Shah Alam, Selangor.",28-05-2026,Polypropylene Random Copolymer Pipes,A [Conveyance of Water],PIPES,AZEETA,https://water.sabah.gov.my/sites/default/files/uploads/products/22800/jans202469-azeeta-pipe-system-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
214,7,"AZEETA PIPE SYSTEM SDN BHD No 9, Jalan Anggerik Mokara 3 1/59, Kota Kemuning, 40460 Shah Alam, Selangor.",28-05-2026,Thermoplastic Stopvalves For Potable Water,A,STOPVALVE,AZEETA,https://water.sabah.gov.my/sites/default/files/uploads/products/22799/jans202468-azeeta-pipe-system-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
215,7,"AZEETA PIPE SYSTEM SDN BHD No 9, Jalan Anggerik Mokara 3 1/59, Kota Kemuning, 40460 Shah Alam, Selangor.",28-05-2026,Polypropylene Random Copolymer Fittings,A [Conveyance of Water],FITTINGS,AZEETA,https://water.sabah.gov.my/sites/default/files/uploads/products/22798/jans202467-azeeta-pipe-system-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
216,7,"AZEETA PIPE SYSTEM SDN BHD No 9, Jalan Anggerik Mokara 3 1/59, Kota Kemuning, 40460 Shah Alam, Selangor.",28-05-2026,High Density Polyethylene Pipes,A [Conveyance of Water],PIPES,AZEETA,https://water.sabah.gov.my/sites/default/files/uploads/products/22797/jans202466-azeeta-pipe-system-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
217,7,"AZEETA PIPE SYSTEM SDN BHD No 9, Jalan Anggerik Mokara 3 1/59, Kota Kemuning, 40460 Shah Alam, Selangor.",28-05-2026,HDPE FITTINGS,A [Conveyance of Water],HDPE FITTINGS,AZEETA,https://water.sabah.gov.my/sites/default/files/uploads/products/22446/jans202465a-b-c-d-e-f-g-h-azeeta-pipe-system-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
218,7,"SEEPEX (M) SDN BHD No.2 Jalan 51/203a, Kaw. Perindustrian Tiong Nam, Seksyen 51, 46050 Petaling Jaya Selangor",28-05-2026,Progressive Cavity Pump,B [Water Treatment Equipment],Pump,SEEPEX,https://water.sabah.gov.my/sites/default/files/uploads/products/22445/jans202464-seepex-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
219,7,"PROMINENT FLUID CONTROLS (M) SDN BHD No.7 Jalan BP 4/9 Bandar Bukit Puchong, 47120, Puchong, Selangor.",28-05-2026,Online Analyser,B [Instrumentation and Control],Online Analyser,ProMinent,https://water.sabah.gov.my/sites/default/files/uploads/products/22444/jans202463a-b-prominent-fluid-controls-m-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
220,7,"M.FLOTECH CONTROLS SDN BHD No. 20, Jalan TP 7/6, Taman Perindustrian UEP Subang, 40400 Shah Alam, Selangor.",28-05-2026,ELECTROMAGNETIC FLOWMETER,A [Measuring Device],FLOW METER,ISOLV,https://water.sabah.gov.my/sites/default/files/uploads/products/22443/jans202462a-b-c-mflotech-controls-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
221,7,"M.FLOTECH CONTROLS SDN BHD No. 20, Jalan TP 7/6, Taman Perindustrian UEP Subang, 40400 Shah Alam, Selangor.",28-05-2026,IEF Insertion Flowmeter,B [Measuring Device],FLOW METER,ISOLV,https://water.sabah.gov.my/sites/default/files/uploads/products/22442/jans202461-mflotech-controls-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
222,7,"M.FLOTECH CONTROLS SDN BHD No. 20, Jalan TP 7/6, Taman Perindustrian UEP Subang, 40400 Shah Alam, Selangor.",28-05-2026,Water Quality Analyzer,B [Water Quality Monitoring Equipment],Water Quality Analyzer,ISOLV,https://water.sabah.gov.my/sites/default/files/uploads/products/22441/jans202460-mflotech-controls-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
223,7,"M.FLOTECH CONTROLS SDN BHD No. 20, Jalan TP 7/6, Taman Perindustrian UEP Subang, 40400 Shah Alam, Selangor.",28-05-2026,LEVEL METER,B [Instrumentation and Control],LEVEL METER,ISOLV,https://water.sabah.gov.my/sites/default/files/uploads/products/22440/jans202459-mflotech-controls-sdn-bhd.pdf,https://water.sabah.gov.my/products?page=7
